dni,category,amount,timestamp
38296175W,extra_income,434.85,2022-04-01T14:09:06
38296175W,food,-82.06,2022-04-01T18:14:53
38296175W,food,-105.71,2022-04-02T22:16:15
38296175W,leisure,-44.98,2022-04-02T08:13:44
38296175W,travel,-870.36,2022-04-03T15:14:13
38296175W,rent,-619.3,2022-04-04T04:54:10
38296175W,appliances,-339.21,2022-04-04T23:06:01
38296175W,leisure,-32.5,2022-04-05T00:24:35
38296175W,water,-28.18,2022-04-06T05:38:43
38296175W,food,-71.25,2022-04-06T21:29:19
38296175W,transport,-46.81,2022-04-06T15:30:27
38296175W,phone,-43.99,2022-04-07T14:19:07
38296175W,cash,-100.0,2022-04-07T19:22:22
38296175W,gas,-37.21,2022-04-08T09:34:00
38296175W,internet,-42.0,2022-04-08T10:41:07
38296175W,electricity,-35.04,2022-04-08T12:00:14
38296175W,food,-68.91,2022-04-09T16:27:01
38296175W,leisure,-72.25,2022-04-17T08:16:00
38296175W,cash,-100.0,2022-04-18T13:49:59
38296175W,gifts,-279.61,2022-04-19T17:49:52
38296175W,food,-111.57,2022-04-20T15:39:29
38296175W,clothing,-62.76,2022-04-22T08:06:38
38296175W,healthcare,-152.0,2022-04-22T11:56:26
38296175W,cash,-100.0,2022-04-22T13:59:11
38296175W,repairs,-30.04,2022-04-22T05:58:44
38296175W,cash,-100.0,2022-04-24T22:23:37
38296175W,cash,-100.0,2022-04-26T15:44:15
38296175W,repairs,-114.07,2022-04-26T09:03:25
38296175W,education,-63.95,2022-04-29T18:27:34
38296175W,leisure,-46.59,2022-04-30T11:40:52
38296175W,salary,3066.82,2022-05-01T11:28:30
38296175W,clothing,-73.72,2022-05-03T08:55:49
38296175W,repairs,-294.77,2022-05-03T18:36:56
38296175W,rent,-619.3,2022-05-04T10:45:31
38296175W,transport,-73.93,2022-05-04T08:12:01
38296175W,water,-31.09,2022-05-05T17:31:53
38296175W,gas,-98.53,2022-05-06T15:54:57
38296175W,internet,-42.0,2022-05-06T15:20:39
38296175W,leisure,-81.33,2022-05-06T12:19:48
38296175W,cash,-100.0,2022-05-06T08:10:15
38296175W,appliances,-317.19,2022-05-07T19:11:24
38296175W,electricity,-47.94,2022-05-08T13:19:39
38296175W,phone,-39.22,2022-05-08T10:29:21
38296175W,transport,-50.39,2022-05-08T19:54:31
38296175W,food,-85.35,2022-05-09T09:33:48
38296175W,travel,-323.86,2022-05-09T18:56:48
38296175W,food,-69.63,2022-05-12T21:00:54
38296175W,cash,-100.0,2022-05-13T18:31:35
38296175W,gifts,-577.71,2022-05-17T12:16:32
38296175W,education,-76.83,2022-05-19T22:21:02
38296175W,transport,-59.78,2022-05-20T16:56:14
38296175W,leisure,-83.17,2022-05-21T18:54:52
38296175W,education,-54.62,2022-05-21T08:59:13
38296175W,food,-123.34,2022-05-23T21:38:30
38296175W,leisure,-81.82,2022-05-23T17:55:29
38296175W,cash,-100.0,2022-05-27T13:52:36
38296175W,transport,-63.61,2022-05-28T10:10:55
38296175W,leisure,-68.51,2022-05-31T09:37:24
38296175W,salary,3066.82,2022-06-01T10:11:17
38296175W,salary_bonus,2266.48,2022-06-01T10:11:17
38296175W,taxes,-1399.57,2022-06-01T09:58:40
38296175W,insurance,-377.09,2022-06-01T14:32:58
38296175W,leisure,-55.95,2022-06-02T09:26:07
38296175W,cash,-100.0,2022-06-02T18:39:54
38296175W,cash,-100.0,2022-06-03T14:50:58
38296175W,rent,-619.3,2022-06-04T08:48:03
38296175W,food,-67.62,2022-06-04T10:25:49
38296175W,electricity,-44.57,2022-06-05T15:22:07
38296175W,food,-86.35,2022-06-05T16:29:19
38296175W,clothing,-64.25,2022-06-05T08:26:54
38296175W,food,-73.74,2022-06-06T16:04:32
38296175W,phone,-36.25,2022-06-07T22:17:07
38296175W,gifts,-107.92,2022-06-07T13:29:26
38296175W,water,-43.77,2022-06-08T15:07:13
38296175W,gas,-95.57,2022-06-08T22:48:25
38296175W,internet,-42.0,2022-06-08T18:18:41
38296175W,food,-108.03,2022-06-08T23:56:56
38296175W,transport,-49.3,2022-06-10T10:47:55
38296175W,leisure,-49.96,2022-06-10T09:25:46
38296175W,appliances,-171.05,2022-06-15T19:14:03
38296175W,leisure,-52.49,2022-06-18T00:23:22
38296175W,cash,-100.0,2022-06-18T22:36:45
38296175W,gifts,-425.39,2022-06-18T08:30:37
38296175W,leisure,-49.47,2022-06-19T15:48:52
38296175W,cash,-100.0,2022-06-19T17:29:45
38296175W,gifts,-732.26,2022-06-22T19:43:50
38296175W,repairs,-178.69,2022-06-25T17:29:15
38296175W,salary,3066.82,2022-07-01T09:40:13
38296175W,extra_income,434.85,2022-07-01T09:40:13
38296175W,transport,-53.69,2022-07-01T16:35:45
38296175W,repairs,-163.18,2022-07-01T18:18:36
38296175W,food,-69.55,2022-07-02T15:33:00
38296175W,cash,-100.0,2022-07-03T05:22:45
38296175W,rent,-619.3,2022-07-04T15:49:28
38296175W,electricity,-53.75,2022-07-05T13:55:23
38296175W,internet,-42.0,2022-07-06T13:06:54
38296175W,food,-72.77,2022-07-07T13:17:00
38296175W,water,-42.27,2022-07-08T14:14:53
38296175W,gas,-81.71,2022-07-08T23:37:26
38296175W,phone,-36.43,2022-07-08T13:35:09
38296175W,leisure,-56.09,2022-07-08T08:01:47
38296175W,food,-65.79,2022-07-09T19:44:14
38296175W,transport,-75.78,2022-07-09T09:25:06
38296175W,cash,-100.0,2022-07-10T09:34:34
38296175W,repairs,-60.44,2022-07-10T19:56:58
38296175W,leisure,-50.08,2022-07-11T16:02:03
38296175W,food,-75.24,2022-07-12T12:44:13
38296175W,transport,-62.4,2022-07-13T08:48:35
38296175W,cash,-100.0,2022-07-13T11:56:28
38296175W,clothing,-121.18,2022-07-14T18:43:56
38296175W,repairs,-64.22,2022-07-15T15:22:50
38296175W,transport,-56.05,2022-07-16T09:15:07
38296175W,repairs,-178.96,2022-07-16T06:13:02
38296175W,leisure,-54.17,2022-07-21T13:30:01
38296175W,gifts,-140.24,2022-07-22T17:23:43
38296175W,transport,-46.99,2022-07-23T06:54:23
38296175W,repairs,-150.13,2022-07-25T12:25:29
38296175W,car,-279.6,2022-07-25T13:44:40
38296175W,cash,-100.0,2022-07-27T16:36:05
38296175W,gifts,-88.47,2022-07-27T11:47:16
38296175W,transport,-53.67,2022-07-29T14:29:24
38296175W,salary,3066.82,2022-08-01T15:43:49
38296175W,education,-68.59,2022-08-01T18:18:09
38296175W,transport,-48.35,2022-08-02T18:53:54
38296175W,rent,-619.3,2022-08-04T22:56:13
38296175W,transport,-70.76,2022-08-04T22:52:01
38296175W,transport,-68.35,2022-08-05T13:44:14
38296175W,cash,-100.0,2022-08-05T00:18:18
38296175W,electricity,-85.8,2022-08-06T15:08:32
38296175W,internet,-42.0,2022-08-06T21:20:09
38296175W,gas,-94.53,2022-08-07T20:22:29
38296175W,phone,-32.15,2022-08-08T19:41:08
38296175W,water,-28.23,2022-08-08T09:25:50
38296175W,food,-116.08,2022-08-08T17:17:34
38296175W,repairs,-170.44,2022-08-10T01:30:45
38296175W,cash,-100.0,2022-08-11T07:22:30
38296175W,gifts,-417.12,2022-08-11T17:59:44
38296175W,leisure,-45.51,2022-08-14T16:56:02
38296175W,clothing,-90.64,2022-08-15T18:31:55
38296175W,travel,-1758.69,2022-08-17T16:11:57
38296175W,gifts,-318.6,2022-08-17T11:11:36
38296175W,gifts,-409.67,2022-08-18T05:24:51
38296175W,cash,-100.0,2022-08-22T17:00:14
38296175W,leisure,-78.05,2022-08-25T18:43:32
38296175W,repairs,-63.09,2022-08-25T07:26:38
38296175W,car,-238.37,2022-08-25T16:41:23
38296175W,leisure,-45.81,2022-08-27T13:56:20
38296175W,travel,-1782.65,2022-08-27T20:54:34
38296175W,cash,-100.0,2022-08-28T09:06:04
38296175W,cash,-100.0,2022-08-29T13:01:46
38296175W,leisure,-51.7,2022-08-30T23:44:23
38296175W,repairs,-163.78,2022-08-30T18:36:57
38296175W,salary,3066.82,2022-09-01T14:00:53
38296175W,gifts,-167.5,2022-09-01T17:28:07
38296175W,food,-109.56,2022-09-02T11:52:48
38296175W,food,-115.76,2022-09-03T16:35:51
38296175W,rent,-619.3,2022-09-04T19:01:45
38296175W,food,-70.32,2022-09-04T11:15:40
38296175W,water,-31.84,2022-09-05T11:56:10
38296175W,transport,-69.49,2022-09-05T00:26:13
38296175W,gifts,-103.74,2022-09-05T19:50:18
38296175W,electricity,-36.33,2022-09-06T08:11:18
38296175W,phone,-42.32,2022-09-06T09:50:31
38296175W,repairs,-256.43,2022-09-07T07:56:40
38296175W,gas,-103.41,2022-09-08T13:56:18
38296175W,internet,-42.0,2022-09-08T12:55:24
38296175W,food,-96.29,2022-09-08T14:02:55
38296175W,transport,-69.33,2022-09-09T14:38:44
38296175W,food,-62.32,2022-09-10T11:15:56
38296175W,car,-302.41,2022-09-10T08:22:34
38296175W,food,-106.5,2022-09-11T20:35:58
38296175W,repairs,-31.15,2022-09-11T14:01:24
38296175W,gifts,-148.62,2022-09-11T00:23:44
38296175W,food,-112.63,2022-09-12T18:25:56
38296175W,food,-83.2,2022-09-14T09:18:55
38296175W,gifts,-74.21,2022-09-14T10:24:34
38296175W,cash,-100.0,2022-09-16T20:21:01
38296175W,transport,-76.07,2022-09-17T13:21:44
38296175W,leisure,-19.61,2022-09-17T00:42:14
38296175W,clothing,-137.32,2022-09-18T12:16:14
38296175W,leisure,-33.74,2022-09-19T14:18:02
38296175W,cash,-100.0,2022-09-19T19:21:54
38296175W,education,-44.16,2022-09-21T09:07:23
38296175W,repairs,-151.99,2022-09-21T23:52:15
38296175W,leisure,-28.77,2022-09-24T10:27:35
38296175W,food,-93.41,2022-09-25T23:14:35
38296175W,transport,-55.87,2022-09-29T08:20:34
38296175W,repairs,-95.32,2022-09-29T17:26:03
38296175W,transport,-47.91,2022-09-30T14:47:08
38296175W,leisure,-34.95,2022-09-30T03:52:07
38296175W,cash,-100.0,2022-09-30T12:52:29
38296175W,repairs,-43.9,2022-09-30T15:51:16
38296175W,salary,3066.82,2022-10-01T17:39:44
38296175W,cash,-100.0,2022-10-01T21:54:25
38296175W,cash,-100.0,2022-10-03T13:35:19
38296175W,rent,-619.3,2022-10-04T21:33:04
38296175W,phone,-32.64,2022-10-05T15:54:55
38296175W,repairs,-60.68,2022-10-05T09:11:02
38296175W,water,-39.3,2022-10-06T23:20:48
38296175W,gas,-57.08,2022-10-06T15:18:01
38296175W,electricity,-64.36,2022-10-08T08:19:42
38296175W,internet,-42.0,2022-10-08T23:35:45
38296175W,healthcare,-125.52,2022-10-08T23:43:26
38296175W,travel,-1077.18,2022-10-10T13:41:34
38296175W,gifts,-56.96,2022-10-10T17:35:18
38296175W,cash,-100.0,2022-10-12T18:47:08
38296175W,transport,-79.27,2022-10-14T08:04:33
38296175W,leisure,-50.98,2022-10-17T11:42:47
38296175W,leisure,-44.65,2022-10-18T03:03:11
38296175W,transport,-75.98,2022-10-19T20:24:03
38296175W,food,-68.34,2022-10-21T20:39:35
38296175W,transport,-50.28,2022-10-21T09:38:15
38296175W,food,-113.11,2022-10-22T08:36:02
38296175W,gifts,-161.24,2022-10-24T18:36:54
38296175W,leisure,-42.71,2022-10-26T20:14:58
38296175W,transport,-43.46,2022-10-27T13:07:24
38296175W,salary,3066.82,2022-11-01T09:31:30
38296175W,extra_income,434.85,2022-11-01T09:31:30
38296175W,cash,-100.0,2022-11-02T08:36:23
38296175W,food,-62.42,2022-11-03T06:01:35
38296175W,rent,-619.3,2022-11-04T15:46:56
38296175W,phone,-30.44,2022-11-05T09:13:44
38296175W,food,-123.96,2022-11-05T16:03:02
38296175W,water,-35.52,2022-11-06T17:46:28
38296175W,transport,-72.97,2022-11-06T10:45:09
38296175W,internet,-42.0,2022-11-07T11:08:08
38296175W,electricity,-38.59,2022-11-08T11:02:07
38296175W,gas,-96.46,2022-11-08T16:13:48
38296175W,food,-122.73,2022-11-08T17:35:11
38296175W,food,-104.89,2022-11-09T13:02:09
38296175W,clothing,-96.06,2022-11-11T14:42:49
38296175W,food,-117.68,2022-11-13T12:28:04
38296175W,food,-84.12,2022-11-14T01:46:19
38296175W,leisure,-28.45,2022-11-14T06:30:07
38296175W,cash,-100.0,2022-11-15T08:55:42
38296175W,repairs,-33.82,2022-11-15T15:42:18
38296175W,food,-104.12,2022-11-17T19:44:18
38296175W,healthcare,-180.33,2022-11-20T23:07:40
38296175W,transport,-78.96,2022-11-23T20:49:44
38296175W,clothing,-47.31,2022-11-24T11:19:34
38296175W,food,-80.39,2022-11-26T16:25:52
38296175W,transport,-66.64,2022-11-26T22:24:50
38296175W,leisure,-20.0,2022-11-26T13:02:21
38296175W,clothing,-75.62,2022-11-26T14:53:15
38296175W,leisure,-78.84,2022-11-27T08:02:43
38296175W,cash,-100.0,2022-11-28T08:30:24
38296175W,food,-85.54,2022-11-29T17:45:19
38296175W,cash,-100.0,2022-11-29T17:12:32
38296175W,food,-107.86,2022-11-30T13:15:10
38296175W,leisure,-42.57,2022-11-30T18:59:51
38296175W,salary,3066.82,2022-12-01T08:01:43
38296175W,salary_bonus,2265.2,2022-12-01T08:01:43
38296175W,leisure,-83.95,2022-12-02T11:06:11
38296175W,cash,-100.0,2022-12-02T06:02:37
38296175W,repairs,-144.13,2022-12-03T08:42:49
38296175W,rent,-619.3,2022-12-04T20:51:06
38296175W,food,-106.47,2022-12-04T15:08:28
38296175W,transport,-46.98,2022-12-04T11:43:24
38296175W,cash,-100.0,2022-12-04T10:14:41
38296175W,repairs,-64.91,2022-12-04T05:49:43
38296175W,water,-34.33,2022-12-05T19:04:45
38296175W,electricity,-64.63,2022-12-05T12:33:25
38296175W,gas,-99.04,2022-12-08T12:24:09
38296175W,internet,-42.0,2022-12-08T19:22:15
38296175W,phone,-32.52,2022-12-08T22:27:58
38296175W,clothing,-111.27,2022-12-08T13:19:45
38296175W,healthcare,-52.03,2022-12-09T20:23:44
38296175W,food,-67.06,2022-12-11T04:23:12
38296175W,transport,-49.48,2022-12-13T11:01:41
38296175W,cash,-100.0,2022-12-13T19:19:07
38296175W,gifts,-327.01,2022-12-14T20:03:23
38296175W,cash,-100.0,2022-12-16T18:42:02
38296175W,cash,-100.0,2022-12-17T11:43:08
38296175W,transport,-58.34,2022-12-18T08:33:02
38296175W,food,-62.61,2022-12-19T19:08:53
38296175W,leisure,-27.81,2022-12-19T10:06:47
38296175W,cash,-100.0,2022-12-20T16:00:55
38296175W,transport,-67.81,2022-12-22T15:57:45
38296175W,leisure,-33.42,2022-12-22T08:37:40
38296175W,food,-86.33,2022-12-23T08:53:42
38296175W,cash,-100.0,2022-12-24T11:42:58
38296175W,leisure,-24.24,2022-12-25T11:30:08
38296175W,clothing,-106.99,2022-12-26T17:37:07
38296175W,food,-111.43,2022-12-27T22:50:16
38296175W,transport,-60.04,2022-12-27T10:58:39
38296175W,leisure,-31.96,2022-12-27T11:46:28
38296175W,travel,-1742.71,2022-12-27T12:30:47
38296175W,transport,-82.83,2022-12-30T12:09:30
38296175W,salary,3132.23,2023-01-01T14:11:45
38296175W,leisure,-18.7,2023-01-01T22:31:11
38296175W,education,-54.72,2023-01-03T14:48:44
38296175W,rent,-619.3,2023-01-04T16:20:03
38296175W,gas,-45.0,2023-01-05T17:08:42
38296175W,internet,-42.0,2023-01-05T15:18:57
38296175W,repairs,-97.48,2023-01-06T20:05:12
38296175W,food,-121.73,2023-01-07T10:41:59
38296175W,cash,-100.0,2023-01-07T20:45:03
38296175W,electricity,-43.67,2023-01-08T23:53:35
38296175W,water,-30.58,2023-01-08T14:33:29
38296175W,phone,-42.99,2023-01-08T04:11:42
38296175W,transport,-86.93,2023-01-10T02:41:48
38296175W,education,-52.18,2023-01-10T17:36:41
38296175W,repairs,-279.79,2023-01-10T14:28:44
38296175W,clothing,-79.52,2023-01-11T01:48:56
38296175W,cash,-100.0,2023-01-11T05:57:06
38296175W,gifts,-301.31,2023-01-11T08:13:36
38296175W,cash,-100.0,2023-01-12T02:51:27
38296175W,leisure,-71.11,2023-01-13T22:20:45
38296175W,transport,-59.23,2023-01-17T22:03:19
38296175W,cash,-100.0,2023-01-17T19:26:45
38296175W,food,-101.44,2023-01-18T17:59:54
38296175W,transport,-41.61,2023-01-18T10:53:05
38296175W,cash,-100.0,2023-01-18T11:31:34
38296175W,transport,-82.15,2023-01-20T11:34:23
38296175W,leisure,-45.15,2023-01-20T23:36:34
38296175W,cash,-100.0,2023-01-20T11:58:44
38296175W,leisure,-32.18,2023-01-21T18:41:57
38296175W,healthcare,-156.31,2023-01-22T14:11:18
38296175W,cash,-100.0,2023-01-23T20:00:59
38296175W,food,-94.74,2023-01-25T23:07:00
38296175W,transport,-82.64,2023-01-29T14:17:43
38296175W,food,-100.66,2023-01-30T15:15:50
38296175W,transport,-44.22,2023-01-31T11:01:51
38296175W,gifts,-396.06,2023-01-31T20:22:20
38296175W,salary,3132.23,2023-02-01T10:27:33
38296175W,repairs,-243.47,2023-02-01T14:55:05
38296175W,cash,-100.0,2023-02-03T19:17:16
38296175W,rent,-619.3,2023-02-04T12:19:59
38296175W,appliances,-197.02,2023-02-04T14:30:33
38296175W,transport,-70.16,2023-02-05T18:48:26
38296175W,education,-46.06,2023-02-05T14:03:38
38296175W,cash,-100.0,2023-02-05T23:46:26
38296175W,water,-25.34,2023-02-06T15:30:13
38296175W,internet,-42.0,2023-02-06T08:29:02
38296175W,gas,-59.91,2023-02-07T10:43:57
38296175W,appliances,-257.25,2023-02-07T22:13:10
38296175W,electricity,-63.96,2023-02-08T19:29:37
38296175W,phone,-36.04,2023-02-08T08:32:01
38296175W,food,-71.16,2023-02-08T20:44:14
38296175W,leisure,-60.91,2023-02-11T17:49:38
38296175W,food,-99.05,2023-02-12T21:10:23
38296175W,repairs,-159.24,2023-02-12T15:28:09
38296175W,leisure,-80.9,2023-02-13T23:16:10
38296175W,transport,-64.84,2023-02-14T22:28:54
38296175W,healthcare,-72.27,2023-02-16T15:59:53
38296175W,gifts,-700.73,2023-02-17T17:42:30
38296175W,food,-76.21,2023-02-19T00:34:52
38296175W,leisure,-72.2,2023-02-21T14:08:14
38296175W,clothing,-94.03,2023-02-22T14:27:32
38296175W,education,-59.92,2023-02-24T13:41:52
38296175W,clothing,-85.49,2023-02-26T14:24:28
38296175W,healthcare,-113.34,2023-02-26T16:52:13
38296175W,clothing,-96.94,2023-02-27T12:40:05
38296175W,healthcare,-94.74,2023-02-27T09:17:05
38296175W,gifts,-796.19,2023-02-28T23:03:01
38296175W,salary,3132.23,2023-03-01T12:29:28
38296175W,extra_income,434.85,2023-03-01T12:29:28
38296175W,healthcare,-185.19,2023-03-03T17:41:25
38296175W,rent,-619.3,2023-03-04T12:01:04
38296175W,gas,-36.98,2023-03-05T19:29:04
38296175W,electricity,-50.38,2023-03-06T10:48:38
38296175W,phone,-31.64,2023-03-06T20:09:45
38296175W,cash,-100.0,2023-03-07T12:26:23
38296175W,gifts,-25.49,2023-03-07T11:32:48
38296175W,water,-24.57,2023-03-08T16:58:04
38296175W,internet,-42.0,2023-03-08T16:10:55
38296175W,cash,-100.0,2023-03-08T15:03:18
38296175W,food,-123.08,2023-03-11T14:58:00
38296175W,leisure,-56.66,2023-03-11T08:14:05
38296175W,education,-43.76,2023-03-13T12:56:22
38296175W,cash,-100.0,2023-03-13T18:17:50
38296175W,transport,-79.51,2023-03-15T08:10:52
38296175W,repairs,-227.76,2023-03-16T09:12:28
38296175W,food,-95.59,2023-03-20T13:47:55
38296175W,repairs,-116.49,2023-03-23T11:45:38
38296175W,food,-62.78,2023-03-24T01:03:17
38296175W,transport,-57.63,2023-03-25T11:33:21
38296175W,travel,-490.11,2023-03-25T17:20:05
38296175W,cash,-100.0,2023-03-27T03:10:53
38296175W,cash,-100.0,2023-03-28T13:08:45
38296175W,leisure,-44.73,2023-03-29T01:19:20
38296175W,repairs,-79.71,2023-03-29T12:58:50
38296175W,cash,-100.0,2023-03-30T21:39:26
38296175W,travel,-1660.46,2023-03-31T11:10:49
38296175W,salary,3132.23,2023-04-01T14:10:55
38296175W,food,-87.27,2023-04-02T08:40:05
38296175W,gifts,-832.92,2023-04-03T12:25:36
38296175W,rent,-619.3,2023-04-04T13:21:40
38296175W,clothing,-143.61,2023-04-04T09:56:52
38296175W,phone,-43.24,2023-04-05T18:22:34
38296175W,food,-101.92,2023-04-05T04:05:52
38296175W,leisure,-59.63,2023-04-05T11:38:36
38296175W,healthcare,-135.35,2023-04-05T13:15:49
38296175W,internet,-42.0,2023-04-06T05:49:07
38296175W,transport,-65.07,2023-04-06T16:08:17
38296175W,food,-97.88,2023-04-07T21:29:39
38296175W,clothing,-136.75,2023-04-07T10:30:05
38296175W,cash,-100.0,2023-04-07T06:35:36
38296175W,water,-28.39,2023-04-08T14:13:33
38296175W,electricity,-60.39,2023-04-08T18:35:46
38296175W,gas,-44.41,2023-04-08T12:30:01
38296175W,leisure,-75.65,2023-04-08T15:44:41
38296175W,cash,-100.0,2023-04-08T14:23:33
38296175W,gifts,-589.02,2023-04-08T05:21:47
38296175W,healthcare,-94.82,2023-04-12T11:26:32
38296175W,transport,-62.16,2023-04-13T12:11:46
38296175W,gifts,-424.96,2023-04-13T23:38:49
38296175W,food,-80.83,2023-04-21T21:28:19
38296175W,food,-103.88,2023-04-22T14:40:02
38296175W,education,-54.53,2023-04-23T09:06:22
38296175W,food,-101.86,2023-04-24T18:14:47
38296175W,cash,-100.0,2023-04-25T19:05:40
38296175W,gifts,-417.61,2023-04-25T17:41:22
38296175W,clothing,-154.88,2023-04-27T17:17:31
38296175W,education,-67.39,2023-04-27T10:41:02
38296175W,appliances,-374.44,2023-04-29T17:14:20
38296175W,salary,3132.23,2023-05-01T16:24:58
38296175W,gifts,-339.75,2023-05-01T20:06:56
38296175W,rent,-619.3,2023-05-04T17:26:16
38296175W,gifts,-558.63,2023-05-04T08:58:38
38296175W,electricity,-79.51,2023-05-05T16:03:06
38296175W,phone,-44.47,2023-05-05T18:46:23
38296175W,water,-40.34,2023-05-06T12:05:51
38296175W,food,-86.8,2023-05-06T19:02:04
38296175W,gas,-34.68,2023-05-07T13:52:18
38296175W,internet,-42.0,2023-05-07T08:36:06
38296175W,food,-109.05,2023-05-07T17:30:29
38296175W,transport,-43.39,2023-05-08T10:31:59
38296175W,food,-103.57,2023-05-10T14:00:57
38296175W,cash,-100.0,2023-05-10T09:03:28
38296175W,travel,-1251.09,2023-05-12T22:30:22
38296175W,cash,-100.0,2023-05-13T12:26:59
